ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
78964,LaShawn Merritt,M,30,191,86,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 4 x 400 metres Relay,Gold
78966,Katharine Merry,F,25,173,62,Great Britain,GBR,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Women's 400 metres,Bronze
78980,Heinz Mertel,M,32,180,83,West Germany,FRG,1968 Summer,1968,Summer,Mexico City,Shooting,"Shooting Mixed Free Pistol, 50 metres",Silver
78990,Glen Alexander Mervyn,M,23,193,89,Canada,CAN,1960 Summer,1960,Summer,Roma,Rowing,Rowing Men's Coxed Eights,Silver
78994,William G. Merz,M,26,NA,NA,United States,USA,1904 Summer,1904,Summer,St. Louis,Gymnastics,"Gymnastics Men's Individual All-Around, Field Sports",Bronze
78994,William G. Merz,M,26,NA,NA,United States,USA,1904 Summer,1904,Summer,St. Louis,Gymnastics,"Gymnastics Men's Individual All-Around, 4 Events",Bronze
78994,William G. Merz,M,26,NA,NA,United States,USA,1904 Summer,1904,Summer,St. Louis,Gymnastics,Gymnastics Men's Horse Vault,Bronze
78994,William G. Merz,M,26,NA,NA,United States,USA,1904 Summer,1904,Summer,St. Louis,Gymnastics,Gymnastics Men's Rings,Silver
78994,William G. Merz,M,26,NA,NA,United States,USA,1904 Summer,1904,Summer,St. Louis,Gymnastics,Gymnastics Men's Side Horse,Bronze
78999,Arnaldo Mesa Bonell,M,28,167,57,Cuba,CUB,1996 Summer,1996,Summer,Atlanta,Boxing,Boxing Men's Bantamweight,Silver
1487,Team Japan,M,NA,NA,NA,Japan,JPN,2004 Summer,2004,Summer,"Athens,GR",Baseball,Baseball Men's Baseball,Bronze
3803,Team Australia,M,NA,NA,NA,Australia,AUS,2004 Summer,2004,Summer,"Athens,GR",Baseball,Baseball Men's Baseball,Silver
79019,Nataliya Alekseyevna Meshcheryakova,F,20,186,68,Unified Team,EUN,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Bronze
79031,Leila Meskhi (-Nadibaidze),F,24,164,54,Unified Team,EUN,1992 Summer,1992,Summer,Barcelona,Tennis,Tennis Women's Doubles,Bronze
130430,"Katarina ""Kati"" Wilhelm",F,25,173,60,Germany,GER,2002 Winter,2002,Winter,Salt Lake City,Biathlon,Biathlon Women's 10 kilometres Pursuit,Silver
130430,"Katarina ""Kati"" Wilhelm",F,25,173,60,Germany,GER,2002 Winter,2002,Winter,Salt Lake City,Biathlon,Biathlon Women's 4 x 7.5 kilometres Relay,Gold
79048,Alfred William Messenger,M,24,NA,NA,Great Britain,GBR,1912 Summer,1912,Summer,Stockholm,Gymnastics,Gymnastics Men's Team All-Around,Bronze
79051,Uwe Messerschmidt,M,22,173,66,West Germany,FRG,1984 Summer,1984,Summer,Los Angeles,Cycling,Cycling Men's Points Race,Silver
79056,Guido Messina,M,21,NA,NA,Italy,ITA,1952 Summer,1952,Summer,Helsinki,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Gold
